"","gene","gene_id","description","class","seq_type","chromosome","start_position","stop_position","feature_length","product_length","strand","locus_tag","note","genomic_accession","product_accession"
"75","SLC22A1",397049,"solute carrier family 22 member 1","protein_coding","chromosome","1",7340442,7365543,25102,NA,-1,NA,NA,"NC_010443.5",NA
"76","IGF2R",397214,"insulin like growth factor 2 receptor","protein_coding","chromosome","1",7369485,7472480,102996,NA,-1,NA,NA,"NC_010443.5",NA
"77","LOC102166961",102166961,NA,"lncRNA","chromosome","1",7488344,7504318,15975,NA,-1,NA,NA,"NC_010443.5",NA
"78","MAS1",100522470,NA,"protein_coding","chromosome","1",7527566,7542110,14545,NA,-1,NA,NA,"NC_010443.5",NA
"79","PNLDC1",100152694,NA,"protein_coding","chromosome","1",7560084,7580062,19979,NA,-1,NA,NA,"NC_010443.5",NA
"80","MRPL18",100156324,NA,"protein_coding","chromosome","1",7581763,7590037,8275,NA,-1,NA,NA,"NC_010443.5",NA
"81","TCP1",100153485,"t-complex 1","protein_coding","chromosome","1",7590140,7600709,10570,NA,1,NA,NA,"NC_010443.5",NA
"82","ACAT2",100152303,NA,"protein_coding","chromosome","1",7600616,7612861,12246,NA,-1,NA,NA,"NC_010443.5",NA
"83","WTAP",100157533,"WT1 associated protein","protein_coding","chromosome","1",7622544,7651732,29189,NA,-1,NA,NA,"NC_010443.5",NA
"84","LOC102157641",102157641,NA,"protein_coding","chromosome","1",7650640,7661042,10403,NA,1,NA,NA,"NC_010443.5",NA
"85","SOD2",100154319,"superoxide dismutase 2","protein_coding","chromosome","1",7679352,7689564,10213,NA,1,NA,NA,"NC_010443.5",NA
"86","FNDC1",100154276,NA,"protein_coding","chromosome","1",8007320,8106875,99556,NA,-1,NA,NA,"NC_010443.5",NA
"87","LOC110259896",110259896,NA,"lncRNA","chromosome","1",8033581,8038827,5247,NA,-1,NA,NA,"NC_010443.5",NA
"88","LOC102158235",102158235,NA,"lncRNA","chromosome","1",8120290,8133925,13636,NA,-1,NA,NA,"NC_010443.5",NA
"89","LOC106508799",106508799,NA,"misc_RNA","chromosome","1",8163238,8188603,25366,NA,1,NA,NA,"NC_010443.5",NA
"90","LOC106508800",106508800,NA,"lncRNA","chromosome","1",8173584,8178310,4727,NA,-1,NA,NA,"NC_010443.5",NA
"91","TAGAP",100155114,"T-cell activation RhoGTPase activating protein","protein_coding","chromosome","1",8209298,8217993,8696,NA,1,NA,NA,"NC_010443.5",NA
"92","LOC102158869",102158869,NA,"pseudogene","chromosome","1",8221386,8225337,3952,NA,1,NA,"pseudo","NC_010443.5",NA
"93","RSPH3",100156750,NA,"protein_coding","chromosome","1",8243177,8265816,22640,NA,1,NA,NA,"NC_010443.5",NA
"94","LOC100521937",100521937,NA,"lncRNA","chromosome","1",8346551,8395999,49449,NA,1,NA,NA,"NC_010443.5",NA
"95","EZR",100152815,NA,"protein_coding","chromosome","1",8403362,8452750,49389,NA,1,NA,NA,"NC_010443.5",NA
"96","SYTL3",100156434,NA,"protein_coding","chromosome","1",8452822,8546637,93816,NA,-1,NA,NA,"NC_010443.5",NA
"97","LOC110259902",110259902,NA,"lncRNA","chromosome","1",8460866,8471017,10152,NA,1,NA,NA,"NC_010443.5",NA
"98","DYNLT1",100158053,"dynein light chain Tctex-type 1","protein_coding","chromosome","1",8556083,8562865,6783,NA,1,NA,NA,"NC_010443.5",NA
"99","TMEM181",100156875,NA,"protein_coding","chromosome","1",8564752,8642358,77607,NA,-1,NA,NA,"NC_010443.5",NA
"100","TULP4",100627260,NA,"protein_coding","chromosome","1",8650811,8891596,240786,NA,-1,NA,NA,"NC_010443.5",NA
"101","GTF2H5",100739493,NA,"protein_coding","chromosome","1",8928280,8935030,6751,NA,-1,NA,NA,"NC_010443.5",NA
"102","SERAC1",100523935,NA,"protein_coding","chromosome","1",8935081,9002774,67694,NA,1,NA,NA,"NC_010443.5",NA
"103","LOC110259904",110259904,NA,"lncRNA","chromosome","1",8998422,9000315,1894,NA,-1,NA,NA,"NC_010443.5",NA
"104","LOC110259908",110259908,NA,"lncRNA","chromosome","1",9001077,9007309,6233,NA,-1,NA,NA,"NC_010443.5",NA
"105","SYNJ2",100516167,NA,"protein_coding","chromosome","1",9014206,9109050,94845,NA,-1,NA,NA,"NC_010443.5",NA
"106","LOC110259909",110259909,NA,"lncRNA","chromosome","1",9109436,9110501,1066,NA,1,NA,NA,"NC_010443.5",NA
"107","LOC106506437",106506437,NA,"lncRNA","chromosome","1",9121330,9126540,5211,NA,-1,NA,NA,"NC_010443.5",NA
"108","SNX9",100627455,NA,"protein_coding","chromosome","1",9130360,9239023,108664,NA,-1,NA,NA,"NC_010443.5",NA
"109","LOC102162833",102162833,NA,"pseudogene","chromosome","1",9195582,9210749,15168,NA,1,NA,"pseudo","NC_010443.5",NA
"110","LOC110259393",110259393,NA,"protein_coding","chromosome","1",9283004,9285620,2617,NA,1,NA,NA,"NC_010443.5",NA
"111","LOC106506439",106506439,NA,"lncRNA","chromosome","1",9286904,9323411,36508,NA,-1,NA,NA,"NC_010443.5",NA
"112","LOC110259912",110259912,NA,"lncRNA","chromosome","1",9326972,9329537,2566,NA,-1,NA,NA,"NC_010443.5",NA
"113","ZDHHC14",100525194,NA,"protein_coding","chromosome","1",9348016,9619719,271704,NA,-1,NA,NA,"NC_010443.5",NA
"114","LOC110259916",110259916,NA,"lncRNA","chromosome","1",9665356,9666166,811,NA,-1,NA,NA,"NC_010443.5",NA
"115","LOC110259913",110259913,NA,"lncRNA","chromosome","1",9666497,9667623,1127,NA,1,NA,NA,"NC_010443.5",NA
"116","TMEM242",100152509,"transmembrane protein 242","protein_coding","chromosome","1",9667865,9718226,50362,NA,1,NA,NA,"NC_010443.5",NA
"117","LOC100153697",100153697,"L-lactate dehydrogenase A-like 6B","protein_coding","chromosome","1",9696872,9698300,1429,NA,1,NA,NA,"NC_010443.5",NA
"118","LOC110259915",110259915,NA,"lncRNA","chromosome","1",9715285,9725049,9765,NA,-1,NA,NA,"NC_010443.5",NA
"119","LOC110259919",110259919,NA,"lncRNA","chromosome","1",9746370,9768345,21976,NA,-1,NA,NA,"NC_010443.5",NA
"120","ARID1B",100152904,NA,"protein_coding","chromosome","1",9791627,10227381,435755,NA,-1,NA,NA,"NC_010443.5",NA
"121","LOC110259923",110259923,NA,"protein_coding","chromosome","1",10301707,10313002,11296,NA,-1,NA,NA,"NC_010443.5",NA
"122","MIR9857",104796125,"microRNA 9857","miRNA","chromosome","1",10483580,10483649,70,NA,-1,NA,NA,"NC_010443.5",NA
"123","MIR9787",104796614,"microRNA 9787","miRNA","chromosome","1",10700366,10700456,91,NA,-1,NA,NA,"NC_010443.5",NA
"124","LOC102161179",102161179,NA,"lncRNA","chromosome","1",10748703,10844752,96050,NA,1,NA,NA,"NC_010443.5",NA
"125","LOC100511792",100511792,NA,"pseudogene","chromosome","1",11441933,11443658,1726,NA,1,NA,"pseudo","NC_010443.5",NA
"126","NOX3",100511606,NA,"protein_coding","chromosome","1",11443681,11501140,57460,NA,1,NA,NA,"NC_010443.5",NA
"127","TFB1M",100147809,"transcription factor B1, mitochondrial","protein_coding","chromosome","1",11566193,11650656,84464,NA,1,NA,NA,"NC_010443.5",NA
"128","CLDN20",100153817,"claudin 20","protein_coding","chromosome","1",11617807,11618550,744,NA,-1,NA,NA,"NC_010443.5",NA
"129","LOC106508808",106508808,NA,"lncRNA","chromosome","1",11638235,11647681,9447,NA,-1,NA,NA,"NC_010443.5",NA
"130","TIAM2",100155014,NA,"protein_coding","chromosome","1",11648506,11897869,249364,NA,-1,NA,NA,"NC_010443.5",NA
"131","SCAF8",100512874,NA,"protein_coding","chromosome","1",11888108,12122435,234328,NA,-1,NA,NA,"NC_010443.5",NA
"132","LOC110256595",110256595,NA,"lncRNA","chromosome","1",12122577,12125436,2860,NA,1,NA,NA,"NC_010443.5",NA
"133","CNKSR3",100513248,NA,"protein_coding","chromosome","1",12297740,12396946,99207,NA,1,NA,NA,"NC_010443.5",NA
"134","LOC110259934",110259934,NA,"lncRNA","chromosome","1",12438953,12498140,59188,NA,1,NA,NA,"NC_010443.5",NA
"135","IPCEF1",100737172,NA,"protein_coding","chromosome","1",12511612,12602736,91125,NA,1,NA,NA,"NC_010443.5",NA
"136","OPRM1",396802,"opioid receptor mu 1","protein_coding","chromosome","1",12634125,12702295,68171,NA,-1,NA,NA,"NC_010443.5",NA
"137","RGS17",100514020,NA,"protein_coding","chromosome","1",13340253,13442058,101806,NA,1,NA,NA,"NC_010443.5",NA
"138","MTRF1L",100514202,"mitochondrial translational release factor 1 like","protein_coding","chromosome","1",13443602,13458291,14690,NA,1,NA,NA,"NC_010443.5",NA
"139","FBXO5",100514379,NA,"protein_coding","chromosome","1",13466961,13478496,11536,NA,1,NA,NA,"NC_010443.5",NA
"140","VIP",100500718,"vasoactive intestinal peptide","protein_coding","chromosome","1",13611786,13620250,8465,NA,-1,NA,NA,"NC_010443.5",NA
"141","MYCT1",100515064,NA,"protein_coding","chromosome","1",13651397,13667210,15814,NA,-1,NA,NA,"NC_010443.5",NA
"142","SYNE1",100157427,NA,"protein_coding","chromosome","1",13715644,14201711,486068,NA,1,NA,NA,"NC_010443.5",NA
"143","LOC102163894",102163894,NA,"lncRNA","chromosome","1",14148312,14151214,2903,NA,-1,NA,NA,"NC_010443.5",NA
"144","ESR1",397435,"estrogen receptor 1","protein_coding","chromosome","1",14217032,14604906,387875,NA,-1,NA,NA,"NC_010443.5",NA
"145","CCDC170",100516653,NA,"protein_coding","chromosome","1",14649453,14751051,101599,NA,-1,NA,NA,"NC_010443.5",NA
"146","ARMT1",100157036,"uncharacterized protein C6orf211 homolog","protein_coding","chromosome","1",14777131,14795323,18193,NA,-1,NA,NA,"NC_010443.5",NA
"147","RMND1",100156656,NA,"protein_coding","chromosome","1",14795632,14852026,56395,NA,1,NA,NA,"NC_010443.5",NA
"148","ZBTB2",100157847,NA,"protein_coding","chromosome","1",14858933,14895744,36812,NA,1,NA,NA,"NC_010443.5",NA
"149","AKAP12",100152595,NA,"protein_coding","chromosome","1",14904109,15017016,112908,NA,-1,NA,NA,"NC_010443.5",NA
"150","LOC106508814",106508814,NA,"lncRNA","chromosome","1",15114945,15141120,26176,NA,1,NA,NA,"NC_010443.5",NA
"151","MTHFD1L",100154722,NA,"protein_coding","chromosome","1",15140929,15330265,189337,NA,-1,NA,NA,"NC_010443.5",NA
"152","PLEKHG1",100621167,NA,"protein_coding","chromosome","1",15341634,15588224,246591,NA,-1,NA,NA,"NC_010443.5",NA
"153","LOC110256936",110256936,NA,"pseudogene","chromosome","1",15730769,15731380,612,NA,1,NA,"pseudo","NC_010443.5",NA
"154","IYD",403124,"iodotyrosine deiodinase","protein_coding","chromosome","1",15756536,15779380,22845,NA,-1,NA,NA,"NC_010443.5",NA
"155","LOC106508815",106508815,NA,"lncRNA","chromosome","1",15779158,15780205,1048,NA,1,NA,NA,"NC_010443.5",NA
"156","LOC110256937",110256937,NA,"lncRNA","chromosome","1",15835230,15838608,3379,NA,1,NA,NA,"NC_010443.5",NA
"157","LOC106508816",106508816,NA,"lncRNA","chromosome","1",15851562,15860409,8848,NA,-1,NA,NA,"NC_010443.5",NA
"158","PPP1R14C",100521302,NA,"protein_coding","chromosome","1",15867846,15949951,82106,NA,-1,NA,NA,"NC_010443.5",NA
"159","LOC102166801",102166801,NA,"protein_coding","chromosome","1",16007071,16017425,10355,NA,1,NA,NA,"NC_010443.5",NA
"160","LOC100521647",100521647,NA,"protein_coding","chromosome","1",16022299,16051345,29047,NA,1,NA,NA,"NC_010443.5",NA
"161","LOC100521998",100521998,NA,"protein_coding","chromosome","1",16057036,16059787,2752,NA,-1,NA,NA,"NC_010443.5",NA
"162","LOC106508817",106508817,NA,"protein_coding","chromosome","1",16090757,16100784,10028,NA,-1,NA,NA,"NC_010443.5",NA
"163","ULBP1",445523,"UL16 binding protein 1","protein_coding","chromosome","1",16113774,16119273,5500,NA,-1,NA,NA,"NC_010443.5",NA
"164","LRP11",100153355,NA,"protein_coding","chromosome","1",16139227,16198974,59748,NA,1,NA,NA,"NC_010443.5",NA
"165","PCMT1",100502562,"protein-L-isoaspartate (D-aspartate) O-methyltransferase","protein_coding","chromosome","1",16202859,16249879,47021,NA,-1,NA,NA,"NC_010443.5",NA
"166","NUP43",100154567,NA,"protein_coding","chromosome","1",16249493,16267636,18144,NA,1,NA,NA,"NC_010443.5",NA
"167","LATS1",100152165,NA,"protein_coding","chromosome","1",16274955,16320980,46026,NA,1,NA,NA,"NC_010443.5",NA
"168","KATNA1",100518101,NA,"protein_coding","chromosome","1",16330854,16360801,29948,NA,1,NA,NA,"NC_010443.5",NA
"169","GINM1",102157824,NA,"protein_coding","chromosome","1",16362777,16381897,19121,NA,-1,NA,NA,"NC_010443.5",NA
"170","PPIL4",100625026,NA,"protein_coding","chromosome","1",16400938,16446860,45923,NA,1,NA,NA,"NC_010443.5",NA
"171","ZC3H12D",100156984,NA,"protein_coding","chromosome","1",16463532,16498974,35443,NA,1,NA,NA,"NC_010443.5",NA
"172","LOC110259956",110259956,NA,"lncRNA","chromosome","1",16476543,16483996,7454,NA,-1,NA,NA,"NC_010443.5",NA
"173","TAB2",100156182,NA,"protein_coding","chromosome","1",16533364,16611879,78516,NA,-1,NA,NA,"NC_010443.5",NA
"174","LOC106508820",106508820,NA,"lncRNA","chromosome","1",16791995,16802371,10377,NA,-1,NA,NA,"NC_010443.5",NA
"175","LOC102159681",102159681,NA,"lncRNA","chromosome","1",16819952,16843000,23049,NA,1,NA,NA,"NC_010443.5",NA
"176","UST",100738738,NA,"protein_coding","chromosome","1",16840422,17138088,297667,NA,-1,NA,NA,"NC_010443.5",NA
"177","LOC110259965",110259965,NA,"lncRNA","chromosome","1",17225219,17302924,77706,NA,-1,NA,NA,"NC_010443.5",NA
"178","SASH1",100157413,NA,"protein_coding","chromosome","1",17306364,17663117,356754,NA,-1,NA,NA,"NC_010443.5",NA
"179","LOC106508822",106508822,NA,"lncRNA","chromosome","1",17512570,17514896,2327,NA,1,NA,NA,"NC_010443.5",NA
"180","SAMD5",100522528,NA,"protein_coding","chromosome","1",17883397,18290021,406625,NA,-1,NA,NA,"NC_010443.5",NA
"181","LOC110256596",110256596,NA,"lncRNA","chromosome","1",18083450,18186076,102627,NA,-1,NA,NA,"NC_010443.5",NA
"182","LOC100522716",100522716,NA,"lncRNA","chromosome","1",18302411,18329596,27186,NA,-1,NA,NA,"NC_010443.5",NA
"183","STXBP5",100152912,NA,"protein_coding","chromosome","1",18343826,18512750,168925,NA,-1,NA,NA,"NC_010443.5",NA
"184","LOC102160169",102160169,NA,"lncRNA","chromosome","1",18513347,18900691,387345,NA,1,NA,NA,"NC_010443.5",NA
"185","ADGB",100155164,NA,"protein_coding","chromosome","1",18870880,19030983,160104,NA,-1,NA,NA,"NC_010443.5",NA
"186","LOC102160909",102160909,NA,"pseudogene","chromosome","1",18884583,18888294,3712,NA,-1,NA,"pseudo","NC_010443.5",NA
"187","RAB32",100144496,"RAB32, member RAS oncogene family","protein_coding","chromosome","1",19076301,19097647,21347,NA,-1,NA,NA,"NC_010443.5",NA
"188","GRM1",100625610,NA,"protein_coding","chromosome","1",19183221,19572853,389633,NA,-1,NA,NA,"NC_010443.5",NA
"189","LOC106508827",106508827,NA,"lncRNA","chromosome","1",19603847,19610584,6738,NA,-1,NA,NA,"NC_010443.5",NA
"190","SHPRH",100154314,NA,"protein_coding","chromosome","1",19612915,19697444,84530,NA,1,NA,NA,"NC_010443.5",NA
"191","FBXO30",100519988,NA,"protein_coding","chromosome","1",19756232,19777621,21390,NA,1,NA,NA,"NC_010443.5",NA
"192","EPM2A",100153341,NA,"protein_coding","chromosome","1",19806363,19893350,86988,NA,1,NA,NA,"NC_010443.5",NA
"193","UTRN",100523292,NA,"protein_coding","chromosome","1",20514264,21047927,533664,NA,-1,NA,NA,"NC_010443.5",NA
"194","LOC110256572",110256572,NA,"pseudogene","chromosome","1",20890152,20890639,488,NA,1,NA,"pseudo","NC_010443.5",NA
"195","LOC106506455",106506455,NA,"lncRNA","chromosome","1",21061209,21116780,55572,NA,-1,NA,NA,"NC_010443.5",NA
"196","TRNAL-UAA",110257132,NA,"tRNA","chromosome","1",21113198,21113280,83,NA,-1,NA,NA,"NC_010443.5",NA
"197","STX11",100152253,NA,"protein_coding","chromosome","1",21127871,21170321,42451,NA,-1,NA,NA,"NC_010443.5",NA
"198","LOC110259972",110259972,NA,"lncRNA","chromosome","1",21146015,21159226,13212,NA,1,NA,NA,"NC_010443.5",NA
"199","SF3B5",100520703,NA,"protein_coding","chromosome","1",21231264,21232014,751,NA,1,NA,NA,"NC_010443.5",NA
"200","PLAGL1",733596,"PLAG1 like zinc finger 1","protein_coding","chromosome","1",21299830,21371070,71241,NA,1,NA,NA,"NC_010443.5",NA
"201","ZC2HC1B",100524002,NA,"protein_coding","chromosome","1",21373015,21413797,40783,NA,-1,NA,NA,"NC_010443.5",NA
"202","LTV1",100627735,NA,"protein_coding","chromosome","1",21406949,21430252,23304,NA,-1,NA,NA,"NC_010443.5",NA
"203","PHACTR2",100524350,NA,"protein_coding","chromosome","1",21438744,21723255,284512,NA,-1,NA,NA,"NC_010443.5",NA
"204","FUCA2",100154940,NA,"protein_coding","chromosome","1",21742192,21762901,20710,NA,1,NA,NA,"NC_010443.5",NA
"205","PEX3",100153726,"peroxisomal biogenesis factor 3","protein_coding","chromosome","1",21750194,21801625,51432,NA,-1,NA,NA,"NC_010443.5",NA
"206","ADAT2",100154785,NA,"protein_coding","chromosome","1",21801565,21831268,29704,NA,1,NA,NA,"NC_010443.5",NA
"207","LOC110256604",110256604,NA,"lncRNA","chromosome","1",21831872,21887144,55273,NA,1,NA,NA,"NC_010443.5",NA
"208","AIG1",100151943,NA,"protein_coding","chromosome","1",21913237,22165078,251842,NA,-1,NA,NA,"NC_010443.5",NA
