"","gene","gene_id","description","class","seq_type","chromosome","start_position","stop_position","feature_length","product_length","strand","locus_tag","note","genomic_accession","product_accession"
"74","LOC102158235",102158235,NA,"lncRNA","chromosome","1",8120290,8133925,13636,NA,-1,NA,NA,"NC_010443.5",NA
"75","LOC106508800",106508800,NA,"lncRNA","chromosome","1",8173584,8178310,4727,NA,-1,NA,NA,"NC_010443.5",NA
"76","TAGAP",100155114,"T-cell activation RhoGTPase activating protein","protein_coding","chromosome","1",8209298,8217993,8696,NA,1,NA,NA,"NC_010443.5",NA
"77","RSPH3",100156750,NA,"protein_coding","chromosome","1",8243177,8265816,22640,NA,1,NA,NA,"NC_010443.5",NA
"78","LOC100521937",100521937,NA,"lncRNA","chromosome","1",8346551,8395999,49449,NA,1,NA,NA,"NC_010443.5",NA
"79","EZR",100152815,NA,"protein_coding","chromosome","1",8403362,8452750,49389,NA,1,NA,NA,"NC_010443.5",NA
"80","SYTL3",100156434,NA,"protein_coding","chromosome","1",8452822,8546637,93816,NA,-1,NA,NA,"NC_010443.5",NA
"81","LOC110259902",110259902,NA,"lncRNA","chromosome","1",8460866,8471017,10152,NA,1,NA,NA,"NC_010443.5",NA
"82","DYNLT1",100158053,"dynein light chain Tctex-type 1","protein_coding","chromosome","1",8556083,8562865,6783,NA,1,NA,NA,"NC_010443.5",NA
"83","TMEM181",100156875,NA,"protein_coding","chromosome","1",8564752,8642358,77607,NA,-1,NA,NA,"NC_010443.5",NA
"84","TULP4",100627260,NA,"protein_coding","chromosome","1",8650811,8891596,240786,NA,-1,NA,NA,"NC_010443.5",NA
"85","GTF2H5",100739493,NA,"protein_coding","chromosome","1",8928280,8935030,6751,NA,-1,NA,NA,"NC_010443.5",NA
"86","SERAC1",100523935,NA,"protein_coding","chromosome","1",8935081,9002774,67694,NA,1,NA,NA,"NC_010443.5",NA
"87","LOC110259904",110259904,NA,"lncRNA","chromosome","1",8998422,9000315,1894,NA,-1,NA,NA,"NC_010443.5",NA
"88","LOC110259908",110259908,NA,"lncRNA","chromosome","1",9001077,9007309,6233,NA,-1,NA,NA,"NC_010443.5",NA
"89","SYNJ2",100516167,NA,"protein_coding","chromosome","1",9014206,9109050,94845,NA,-1,NA,NA,"NC_010443.5",NA
"90","LOC110259909",110259909,NA,"lncRNA","chromosome","1",9109436,9110501,1066,NA,1,NA,NA,"NC_010443.5",NA
"91","LOC106506437",106506437,NA,"lncRNA","chromosome","1",9121330,9126540,5211,NA,-1,NA,NA,"NC_010443.5",NA
"92","SNX9",100627455,NA,"protein_coding","chromosome","1",9130360,9239023,108664,NA,-1,NA,NA,"NC_010443.5",NA
"93","LOC110259393",110259393,NA,"protein_coding","chromosome","1",9283004,9285620,2617,NA,1,NA,NA,"NC_010443.5",NA
"94","LOC106506439",106506439,NA,"lncRNA","chromosome","1",9286904,9323411,36508,NA,-1,NA,NA,"NC_010443.5",NA
"95","LOC110259912",110259912,NA,"lncRNA","chromosome","1",9326972,9329537,2566,NA,-1,NA,NA,"NC_010443.5",NA
"96","ZDHHC14",100525194,NA,"protein_coding","chromosome","1",9348016,9619719,271704,NA,-1,NA,NA,"NC_010443.5",NA
"97","TMEM242",100152509,"transmembrane protein 242","protein_coding","chromosome","1",9667865,9718226,50362,NA,1,NA,NA,"NC_010443.5",NA
"98","LOC100153697",100153697,"L-lactate dehydrogenase A-like 6B","protein_coding","chromosome","1",9696872,9698300,1429,NA,1,NA,NA,"NC_010443.5",NA
"99","LOC110259919",110259919,NA,"lncRNA","chromosome","1",9746370,9768345,21976,NA,-1,NA,NA,"NC_010443.5",NA
"100","ARID1B",100152904,NA,"protein_coding","chromosome","1",9791627,10227381,435755,NA,-1,NA,NA,"NC_010443.5",NA
"101","LOC110259923",110259923,NA,"protein_coding","chromosome","1",10301707,10313002,11296,NA,-1,NA,NA,"NC_010443.5",NA
"102","LOC102161179",102161179,NA,"lncRNA","chromosome","1",10748703,10844752,96050,NA,1,NA,NA,"NC_010443.5",NA
"103","NOX3",100511606,NA,"protein_coding","chromosome","1",11443681,11501140,57460,NA,1,NA,NA,"NC_010443.5",NA
"104","TFB1M",100147809,"transcription factor B1, mitochondrial","protein_coding","chromosome","1",11566193,11650656,84464,NA,1,NA,NA,"NC_010443.5",NA
"105","CLDN20",100153817,"claudin 20","protein_coding","chromosome","1",11617807,11618550,744,NA,-1,NA,NA,"NC_010443.5",NA
"106","LOC106508808",106508808,NA,"lncRNA","chromosome","1",11638235,11647681,9447,NA,-1,NA,NA,"NC_010443.5",NA
"107","TIAM2",100155014,NA,"protein_coding","chromosome","1",11648506,11897869,249364,NA,-1,NA,NA,"NC_010443.5",NA
"108","SCAF8",100512874,NA,"protein_coding","chromosome","1",11888108,12122435,234328,NA,-1,NA,NA,"NC_010443.5",NA
"109","LOC110256595",110256595,NA,"lncRNA","chromosome","1",12122577,12125436,2860,NA,1,NA,NA,"NC_010443.5",NA
"110","CNKSR3",100513248,NA,"protein_coding","chromosome","1",12297740,12396946,99207,NA,1,NA,NA,"NC_010443.5",NA
"111","LOC110259934",110259934,NA,"lncRNA","chromosome","1",12438953,12498140,59188,NA,1,NA,NA,"NC_010443.5",NA
"112","IPCEF1",100737172,NA,"protein_coding","chromosome","1",12511612,12602736,91125,NA,1,NA,NA,"NC_010443.5",NA
"113","RGS17",100514020,NA,"protein_coding","chromosome","1",13340253,13442058,101806,NA,1,NA,NA,"NC_010443.5",NA
"114","MTRF1L",100514202,"mitochondrial translational release factor 1 like","protein_coding","chromosome","1",13443602,13458291,14690,NA,1,NA,NA,"NC_010443.5",NA
"115","FBXO5",100514379,NA,"protein_coding","chromosome","1",13466961,13478496,11536,NA,1,NA,NA,"NC_010443.5",NA
"116","VIP",100500718,"vasoactive intestinal peptide","protein_coding","chromosome","1",13611786,13620250,8465,NA,-1,NA,NA,"NC_010443.5",NA
"117","MYCT1",100515064,NA,"protein_coding","chromosome","1",13651397,13667210,15814,NA,-1,NA,NA,"NC_010443.5",NA
"118","SYNE1",100157427,NA,"protein_coding","chromosome","1",13715644,14201711,486068,NA,1,NA,NA,"NC_010443.5",NA
"119","ESR1",397435,"estrogen receptor 1","protein_coding","chromosome","1",14217032,14604906,387875,NA,-1,NA,NA,"NC_010443.5",NA
"120","CCDC170",100516653,NA,"protein_coding","chromosome","1",14649453,14751051,101599,NA,-1,NA,NA,"NC_010443.5",NA
"121","ARMT1",100157036,"uncharacterized protein C6orf211 homolog","protein_coding","chromosome","1",14777131,14795323,18193,NA,-1,NA,NA,"NC_010443.5",NA
"122","RMND1",100156656,NA,"protein_coding","chromosome","1",14795632,14852026,56395,NA,1,NA,NA,"NC_010443.5",NA
"123","ZBTB2",100157847,NA,"protein_coding","chromosome","1",14858933,14895744,36812,NA,1,NA,NA,"NC_010443.5",NA
"124","AKAP12",100152595,NA,"protein_coding","chromosome","1",14904109,15017016,112908,NA,-1,NA,NA,"NC_010443.5",NA
"125","LOC106508814",106508814,NA,"lncRNA","chromosome","1",15114945,15141120,26176,NA,1,NA,NA,"NC_010443.5",NA
"126","MTHFD1L",100154722,NA,"protein_coding","chromosome","1",15140929,15330265,189337,NA,-1,NA,NA,"NC_010443.5",NA
"127","PLEKHG1",100621167,NA,"protein_coding","chromosome","1",15341634,15588224,246591,NA,-1,NA,NA,"NC_010443.5",NA
"128","IYD",403124,"iodotyrosine deiodinase","protein_coding","chromosome","1",15756536,15779380,22845,NA,-1,NA,NA,"NC_010443.5",NA
"129","LOC106508815",106508815,NA,"lncRNA","chromosome","1",15779158,15780205,1048,NA,1,NA,NA,"NC_010443.5",NA
"130","LOC106508816",106508816,NA,"lncRNA","chromosome","1",15851562,15860409,8848,NA,-1,NA,NA,"NC_010443.5",NA
"131","PPP1R14C",100521302,NA,"protein_coding","chromosome","1",15867846,15949951,82106,NA,-1,NA,NA,"NC_010443.5",NA
"132","LOC102166801",102166801,NA,"protein_coding","chromosome","1",16007071,16017425,10355,NA,1,NA,NA,"NC_010443.5",NA
"133","LOC100521647",100521647,NA,"protein_coding","chromosome","1",16022299,16051345,29047,NA,1,NA,NA,"NC_010443.5",NA
"134","LOC100521998",100521998,NA,"protein_coding","chromosome","1",16057036,16059787,2752,NA,-1,NA,NA,"NC_010443.5",NA
"135","LOC106508817",106508817,NA,"protein_coding","chromosome","1",16090757,16100784,10028,NA,-1,NA,NA,"NC_010443.5",NA
"136","ULBP1",445523,"UL16 binding protein 1","protein_coding","chromosome","1",16113774,16119273,5500,NA,-1,NA,NA,"NC_010443.5",NA
"137","LRP11",100153355,NA,"protein_coding","chromosome","1",16139227,16198974,59748,NA,1,NA,NA,"NC_010443.5",NA
"138","PCMT1",100502562,"protein-L-isoaspartate (D-aspartate) O-methyltransferase","protein_coding","chromosome","1",16202859,16249879,47021,NA,-1,NA,NA,"NC_010443.5",NA
"139","NUP43",100154567,NA,"protein_coding","chromosome","1",16249493,16267636,18144,NA,1,NA,NA,"NC_010443.5",NA
"140","LATS1",100152165,NA,"protein_coding","chromosome","1",16274955,16320980,46026,NA,1,NA,NA,"NC_010443.5",NA
"141","KATNA1",100518101,NA,"protein_coding","chromosome","1",16330854,16360801,29948,NA,1,NA,NA,"NC_010443.5",NA
"142","GINM1",102157824,NA,"protein_coding","chromosome","1",16362777,16381897,19121,NA,-1,NA,NA,"NC_010443.5",NA
"143","PPIL4",100625026,NA,"protein_coding","chromosome","1",16400938,16446860,45923,NA,1,NA,NA,"NC_010443.5",NA
"144","ZC3H12D",100156984,NA,"protein_coding","chromosome","1",16463532,16498974,35443,NA,1,NA,NA,"NC_010443.5",NA
"145","LOC110259956",110259956,NA,"lncRNA","chromosome","1",16476543,16483996,7454,NA,-1,NA,NA,"NC_010443.5",NA
"146","TAB2",100156182,NA,"protein_coding","chromosome","1",16533364,16611879,78516,NA,-1,NA,NA,"NC_010443.5",NA
"147","LOC106508820",106508820,NA,"lncRNA","chromosome","1",16791995,16802371,10377,NA,-1,NA,NA,"NC_010443.5",NA
"148","LOC102159681",102159681,NA,"lncRNA","chromosome","1",16819952,16843000,23049,NA,1,NA,NA,"NC_010443.5",NA
"149","UST",100738738,NA,"protein_coding","chromosome","1",16840422,17138088,297667,NA,-1,NA,NA,"NC_010443.5",NA
"150","SASH1",100157413,NA,"protein_coding","chromosome","1",17306364,17663117,356754,NA,-1,NA,NA,"NC_010443.5",NA
"151","LOC106508822",106508822,NA,"lncRNA","chromosome","1",17512570,17514896,2327,NA,1,NA,NA,"NC_010443.5",NA
"152","SAMD5",100522528,NA,"protein_coding","chromosome","1",17883397,18290021,406625,NA,-1,NA,NA,"NC_010443.5",NA
"153","LOC110256596",110256596,NA,"lncRNA","chromosome","1",18083450,18186076,102627,NA,-1,NA,NA,"NC_010443.5",NA
"154","STXBP5",100152912,NA,"protein_coding","chromosome","1",18343826,18512750,168925,NA,-1,NA,NA,"NC_010443.5",NA
"155","LOC102160169",102160169,NA,"lncRNA","chromosome","1",18513347,18900691,387345,NA,1,NA,NA,"NC_010443.5",NA
"156","ADGB",100155164,NA,"protein_coding","chromosome","1",18870880,19030983,160104,NA,-1,NA,NA,"NC_010443.5",NA
"157","RAB32",100144496,"RAB32, member RAS oncogene family","protein_coding","chromosome","1",19076301,19097647,21347,NA,-1,NA,NA,"NC_010443.5",NA
"158","GRM1",100625610,NA,"protein_coding","chromosome","1",19183221,19572853,389633,NA,-1,NA,NA,"NC_010443.5",NA
"159","SHPRH",100154314,NA,"protein_coding","chromosome","1",19612915,19697444,84530,NA,1,NA,NA,"NC_010443.5",NA
"160","FBXO30",100519988,NA,"protein_coding","chromosome","1",19756232,19777621,21390,NA,1,NA,NA,"NC_010443.5",NA
"161","EPM2A",100153341,NA,"protein_coding","chromosome","1",19806363,19893350,86988,NA,1,NA,NA,"NC_010443.5",NA
"162","UTRN",100523292,NA,"protein_coding","chromosome","1",20514264,21047927,533664,NA,-1,NA,NA,"NC_010443.5",NA
"163","LOC106506455",106506455,NA,"lncRNA","chromosome","1",21061209,21116780,55572,NA,-1,NA,NA,"NC_010443.5",NA
"164","TRNAL-UAA",110257132,NA,"tRNA","chromosome","1",21113198,21113280,83,NA,-1,NA,NA,"NC_010443.5",NA
"165","STX11",100152253,NA,"protein_coding","chromosome","1",21127871,21170321,42451,NA,-1,NA,NA,"NC_010443.5",NA
"166","SF3B5",100520703,NA,"protein_coding","chromosome","1",21231264,21232014,751,NA,1,NA,NA,"NC_010443.5",NA
"167","PLAGL1",733596,"PLAG1 like zinc finger 1","protein_coding","chromosome","1",21299830,21371070,71241,NA,1,NA,NA,"NC_010443.5",NA
"168","ZC2HC1B",100524002,NA,"protein_coding","chromosome","1",21373015,21413797,40783,NA,-1,NA,NA,"NC_010443.5",NA
"169","LTV1",100627735,NA,"protein_coding","chromosome","1",21406949,21430252,23304,NA,-1,NA,NA,"NC_010443.5",NA
"170","PHACTR2",100524350,NA,"protein_coding","chromosome","1",21438744,21723255,284512,NA,-1,NA,NA,"NC_010443.5",NA
"171","FUCA2",100154940,NA,"protein_coding","chromosome","1",21742192,21762901,20710,NA,1,NA,NA,"NC_010443.5",NA
"172","PEX3",100153726,"peroxisomal biogenesis factor 3","protein_coding","chromosome","1",21750194,21801625,51432,NA,-1,NA,NA,"NC_010443.5",NA
"173","ADAT2",100154785,NA,"protein_coding","chromosome","1",21801565,21831268,29704,NA,1,NA,NA,"NC_010443.5",NA
"174","LOC110256604",110256604,NA,"lncRNA","chromosome","1",21831872,21887144,55273,NA,1,NA,NA,"NC_010443.5",NA
"175","AIG1",100151943,NA,"protein_coding","chromosome","1",21913237,22165078,251842,NA,-1,NA,NA,"NC_010443.5",NA
"176","LOC102166818",102166818,NA,"lncRNA","chromosome","1",22081617,22085731,4115,NA,1,NA,NA,"NC_010443.5",NA
"177","HIVEP2",100525369,NA,"protein_coding","chromosome","1",22240681,22436945,196265,NA,1,NA,NA,"NC_010443.5",NA
"178","ADGRG6",100511292,NA,"protein_coding","chromosome","1",22662009,22802166,140158,NA,-1,NA,NA,"NC_010443.5",NA
"179","VTA1",100155445,NA,"protein_coding","chromosome","1",22862628,22923861,61234,NA,-1,NA,NA,"NC_010443.5",NA
"180","NMBR",100169653,"neuromedin B receptor","protein_coding","chromosome","1",22972049,22989188,17140,NA,1,NA,NA,"NC_010443.5",NA
"181","LOC106508831",106508831,NA,"lncRNA","chromosome","1",23703407,23931191,227785,NA,1,NA,NA,"NC_010443.5",NA
"182","LOC110259987",110259987,NA,"lncRNA","chromosome","1",24633392,24879188,245797,NA,-1,NA,NA,"NC_010443.5",NA
"183","LOC102163845",102163845,NA,"lncRNA","chromosome","1",25124567,25134196,9630,NA,1,NA,NA,"NC_010443.5",NA
"184","CITED2",100156022,NA,"protein_coding","chromosome","1",25155652,25158517,2866,NA,1,NA,NA,"NC_010443.5",NA
"185","TXLNB",100511845,NA,"protein_coding","chromosome","1",25228602,25285303,56702,NA,1,NA,NA,"NC_010443.5",NA
"186","HECA",100512023,NA,"protein_coding","chromosome","1",25316448,25364083,47636,NA,-1,NA,NA,"NC_010443.5",NA
"187","ABRACL",100525723,NA,"protein_coding","chromosome","1",25432314,25447016,14703,NA,-1,NA,NA,"NC_010443.5",NA
"188","LOC110259990",110259990,NA,"protein_coding","chromosome","1",25445613,25447839,2227,NA,-1,NA,NA,"NC_010443.5",NA
"189","REPS1",100154803,NA,"protein_coding","chromosome","1",25481283,25565284,84002,NA,1,NA,NA,"NC_010443.5",NA
"190","ECT2L",100153588,NA,"protein_coding","chromosome","1",25566955,25644289,77335,NA,-1,NA,NA,"NC_010443.5",NA
"191","CCDC28A",100512200,"coiled-coil domain containing 28A","protein_coding","chromosome","1",25646997,25663277,16281,NA,-1,NA,NA,"NC_010443.5",NA
"192","NHSL1",100156257,NA,"protein_coding","chromosome","1",25663554,25988106,324553,NA,1,NA,NA,"NC_010443.5",NA
"193","HEBP2",100155860,NA,"protein_coding","chromosome","1",26001650,26011381,9732,NA,-1,NA,NA,"NC_010443.5",NA
"194","LOC100154647",100154647,NA,"protein_coding","chromosome","1",26025808,26044787,18980,NA,1,NA,NA,"NC_010443.5",NA
"195","ARFGEF3",100621590,NA,"protein_coding","chromosome","1",26069337,26256871,187535,NA,-1,NA,NA,"NC_010443.5",NA
"196","PERP",100513507,"PERP, TP53 apoptosis effector","protein_coding","chromosome","1",26301254,26317046,15793,NA,1,NA,NA,"NC_010443.5",NA
"197","TNFAIP3",100622156,"TNF alpha induced protein 3","protein_coding","chromosome","1",26474158,26489771,15614,NA,-1,NA,NA,"NC_010443.5",NA
"198","LOC100621792",100621792,NA,"lncRNA","chromosome","1",26499195,26529634,30440,NA,1,NA,NA,"NC_010443.5",NA
"199","LOC106508840",106508840,NA,"protein_coding","chromosome","1",26639458,26649592,10135,NA,1,NA,NA,"NC_010443.5",NA
"200","LOC102167333",102167333,NA,"lncRNA","chromosome","1",26966686,26973753,7068,NA,1,NA,NA,"NC_010443.5",NA
"201","IFNGR1",100152238,"interferon gamma receptor 1","protein_coding","chromosome","1",27037151,27061095,23945,NA,1,NA,NA,"NC_010443.5",NA
"202","IL22RA2",100513324,NA,"protein_coding","chromosome","1",27073481,27090635,17155,NA,1,NA,NA,"NC_010443.5",NA
"203","IL20RA",100622457,NA,"protein_coding","chromosome","1",27137545,27172341,34797,NA,1,NA,NA,"NC_010443.5",NA
"204","SLC35D3",100737566,NA,"protein_coding","chromosome","1",27246742,27250476,3735,NA,-1,NA,NA,"NC_010443.5",NA
"205","PEX7",100152228,NA,"protein_coding","chromosome","1",27257872,27346529,88658,NA,-1,NA,NA,"NC_010443.5",NA
"206","LOC106508844",106508844,NA,"lncRNA","chromosome","1",27346552,27377573,31022,NA,1,NA,NA,"NC_010443.5",NA
"207","MAP3K5",100622769,NA,"protein_coding","chromosome","1",27380143,27600500,220358,NA,1,NA,NA,"NC_010443.5",NA
"208","MAP7",100514082,NA,"protein_coding","chromosome","1",27606021,27782754,176734,NA,1,NA,NA,"NC_010443.5",NA
