"","MAG","taxonomy","domain","phylum","class","order","family","genus","species","lowest","ani","reference","old_MAG"
"17","MAG017","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552195","s__Alloprevotella sp004552195",98.45,"GCA_004552195.1","D300040:bin_000014"
"18","MAG018","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp004555265","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp004555265","s__Fimenecus sp004555265",97.66,"GCA_004555265.1","D300040:bin_000015"
"19","MAG019","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus",NA,"g__Duodenibacillus",NA,NA,"D300040:bin_000016"
"20","MAG020","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus",98.99,"GCF_000300255.2","D300040:bin_000022"
"21","MAG021","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251365","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251365","s__Prevotella sp002251365",98.04,"GCF_002251365.1","D300040:bin_000024"
"22","MAG022","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NC2004","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","NC2004",NA,"g__NC2004",NA,NA,"D300040:bin_000029"
"23","MAG023","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp003487665","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Vescimonas","Vescimonas sp003487665","s__Vescimonas sp003487665",97.42,"GCA_003487665.1","D300040:bin_000034"
"24","MAG024","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter",NA,"g__Butyribacter (1)",NA,NA,"D300040:bin_000042"
"25","MAG025","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269 (1)",NA,NA,"D300040:bin_000062"
"26","MAG026","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella caviae","Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella caviae","s__Veillonella caviae",97.35,"GCF_003992125.1","D300042:bin_000001"
"27","MAG027","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945637645","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp945637645","s__Prevotella sp945637645",98.78,"GCA_945637645.1","D300042:bin_000002"
"28","MAG028","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","s__Fusicatenibacter saccharivorans",97.3,"GCF_015557635.1","D300042:bin_000007"
"29","MAG029","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,"g__Phascolarctobacterium_A (1)",NA,NA,"D300042:bin_000015"
"30","MAG030","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis_C","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","s__Parabacteroides distasonis_C",97.1,"GCA_021531385.1","D300044:bin_000001"
"31","MAG031","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp022772725","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium","Eubacterium_R sp022772725","s__Eubacterium_R sp022772725",97.61,"GCA_022772725.1","D300044:bin_000003"
"32","MAG032","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Avigastranaerophilus","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Avigastranaerophilus",NA,"g__Avigastranaerophilus",NA,NA,"D300044:bin_000004"
"33","MAG033","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004554665","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004554665","s__Prevotella sp004554665",98.97,"GCA_004554665.1","D300044:bin_000006"
"34","MAG034","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp004558955","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp004558955","s__Zag111 sp004558955",99.17,"GCA_004558955.1","D300044:bin_000007"
"35","MAG035","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_C","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","s__Phocaeicola plebeius_C",98.69,"GCA_022767125.1","D300044:bin_000008"
"36","MAG036","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp002299675","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","UBA636","UBA636 sp002299675","s__UBA636 sp002299675",98.52,"GCA_002299675.1","D300044:bin_000012"
"37","MAG037","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","RF16",NA,"g__RF16 (1)",NA,NA,"D300044:bin_000014"
"38","MAG038","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger qucibialis","s__Gemmiger qucibialis",98.31,"GCA_004000625.1","D300044:bin_000015"
"39","MAG039","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp016293365","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia sp016293365","s__Bulleidia sp016293365",98.96,"GCA_016293365.1","D300044:bin_000018"
"40","MAG040","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004555055","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004555055","s__Alloprevotella sp004555055",97.67,"GCA_004555055.1","D300044:bin_000021"
"41","MAG041","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1",NA,"g__COE1 (1)",NA,NA,"D300044:bin_000029"
"42","MAG042","d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas","Bacteria","Bacillota","Bacilli","RFN20","CAG-826","Enteromonas",NA,"g__Enteromonas (2)",NA,NA,"D300044:bin_000030"
"43","MAG043","d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__Enterosoma;s__Enterosoma sp022774485","Bacteria","Bacillota","Bacilli","RFN20","CAG-288","Enterosoma","Enterosoma sp022774485","s__Enterosoma sp022774485",98.28,"GCA_022774485.1","D300044:bin_000031"
"44","MAG044","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11957;s__UBA11957 sp016301965","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA11957","UBA11957 sp016301965","s__UBA11957 sp016301965",98.94,"GCA_016301965.1","D300044:bin_000035"
"45","MAG045","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Choladousia",NA,"g__Choladousia",NA,NA,"D300044:bin_000038"
"46","MAG046","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","CAG-353",NA,"g__CAG-353",NA,NA,"D300046:bin_000001"
"47","MAG047","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium",NA,"g__Ruminiclostridium_E (2)",NA,NA,"D300046:bin_000004"
"48","MAG048","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004556065","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004556065","s__Prevotella sp004556065",97.83,"GCA_021531755.1","D300046:bin_000006"
"49","MAG049","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Aphodosoma;s__Aphodosoma sp016292775","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Aphodosoma","Aphodosoma sp016292775","s__Aphodosoma sp016292775",98.09,"GCA_016292775.1","D300046:bin_000012"
"50","MAG050","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JALFVM01","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","JALFVM01",NA,"g__JALFVM01 (1)",NA,NA,"D300046:bin_000013"
"51","MAG051","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp004552725","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873","CAG-873 sp004552725","s__CAG-873 sp004552725",97.9,"GCA_004552725.1","D300046:bin_000014"
"52","MAG052","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111",NA,"g__Zag111 (1)",NA,NA,"D300046:bin_000016"
"53","MAG053","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882",NA,"g__CAG-882 (1)",NA,NA,"D300046:bin_000022"
"54","MAG054","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter",NA,"g__Butyribacter (2)",NA,NA,"D300046:bin_000030"
"55","MAG055","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-303","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-303",NA,"g__CAG-303 (1)",NA,NA,"D300046:bin_000048"
"56","MAG056","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira","Bacteria","Bacillota","Clostridia","Lachnospirales","Anaerotignaceae","Metalachnospira",NA,"g__Metalachnospira (1)",NA,NA,"D300046:bin_000055"
"57","MAG057","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_F;s__Helicobacter_F sp002287135","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_F sp002287135","s__Helicobacter_F sp002287135",96.96,"GCF_002287135.1","D300046:bin_000058"
"58","MAG058","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004559845","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sodaliphilus","Sodaliphilus sp004559845","s__Sodaliphilus sp004559845",97.62,"GCA_004559845.1","D300048:bin_000001"
"59","MAG059","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp003456415","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinivibrio","Succinivibrio sp003456415","s__Succinivibrio sp003456415",96.53,"GCA_902785325.1","D300048:bin_000002"
"60","MAG060","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio slackiae","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio slackiae","s__Anaerovibrio slackiae",97.94,"GCF_009695585.1","D300048:bin_000007"
"61","MAG061","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter",NA,"g__Dysosmobacter (1)",NA,NA,"D300048:bin_000012"
"62","MAG062","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D sp900769985","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp900769985","s__Treponema_D sp900769985",98.11,"GCA_900769985.1","D300048:bin_000018"
"63","MAG063","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",NA,"g__Bulleidia (1)",NA,NA,"D300048:bin_000024"
"64","MAG064","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71",NA,"g__UBA71",NA,NA,"D300048:bin_000025"
"65","MAG065","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-582","Bacteria","Bacillota","Bacilli","RF39","UBA660","CAG-582",NA,"g__CAG-582",NA,NA,"D300048:bin_000027"
"66","MAG066","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004557285","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004557285","s__Prevotella sp004557285",98.48,"GCA_004557285.1","D300048:bin_000031"
"67","MAG067","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp017829005","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","CAG-353","CAG-353 sp017829005","s__CAG-353 sp017829005",96.97,"GCA_017829005.1","D300050:bin_000001"
"68","MAG068","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","CAG-115",NA,"g__CAG-115",NA,NA,"D300050:bin_000004"
"69","MAG069","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CALZFJ01","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CALZFJ01",NA,"g__CALZFJ01 (2)",NA,NA,"D300050:bin_000005"
"70","MAG070","d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381","Bacteria","Bacillota","Clostridia","UBA1381","UBA1381",NA,NA,"f__UBA1381 (1)",NA,NA,"D300050:bin_000006"
"71","MAG071","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900548195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900548195","s__Prevotella sp900548195",96.37,"GCA_900548195.1","D300050:bin_000007"
"72","MAG072","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp022788225","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UBA1394","UBA1394 sp022788225","s__UBA1394 sp022788225",96.89,"GCA_022788225.1","D300050:bin_000010"
"73","MAG073","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp900766945","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Fimenecus","Fimenecus sp900766945","s__Fimenecus sp900766945",96.19,"GCA_900766945.1","D300050:bin_000017"
"74","MAG074","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp945865175","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA4372","UBA4372 sp945865175","s__UBA4372 sp945865175",98.55,"GCA_945865175.1","D300050:bin_000018"
"75","MAG075","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","RF16",NA,"g__RF16 (2)",NA,NA,"D300050:bin_000028"
"76","MAG076","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D porcinum","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D porcinum","s__Treponema_D porcinum",97.18,"GCF_900167145.1","D300050:bin_000040"
"77","MAG077","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UBA3789;s__UBA3789 sp900543055","Bacteria","Bacillota","Bacilli","RF39","UBA660","UBA3789","UBA3789 sp900543055","s__UBA3789 sp900543055",99.17,"GCA_900543055.1","D300050:bin_000041"
"78","MAG078","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Ornithospirochaeta;s__Ornithospirochaeta sp022771185","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022771185","s__Ornithospirochaeta sp022771185",97.41,"GCA_022771185.1","D300050:bin_000052"
"79","MAG079","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-273",NA,"g__CAG-273 (1)",NA,NA,"D300050:bin_000054"
"80","MAG080","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp016302185","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Clostridium","Clostridium_Q sp016302185","s__Clostridium_Q sp016302185",98.37,"GCA_016302185.1","D300050:bin_000056"
"81","MAG081","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium",NA,"g__Faecalibacterium (1)",NA,NA,"D300050:bin_000074"
"82","MAG082","d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Mucispirillaceae","Mucispirillum",NA,"g__Mucispirillum",NA,NA,"D300050:bin_000085"
"83","MAG083","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A porcorum","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Butyricicoccus_A porcorum","s__Butyricicoccus_A porcorum",99.5,"GCF_002157465.1","D300053:bin_000003"
"84","MAG084","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883",NA,"g__UBA2883 (1)",NA,NA,"D300053:bin_000007"
