"","contig","length"
"75","D300038:bin_000002@contig_00017136",51268
"76","D300038:bin_000002@contig_00017302",5947
"77","D300038:bin_000002@contig_00017340",9060
"78","D300038:bin_000002@contig_00017341",12648
"79","D300038:bin_000002@contig_00017347",7088
"80","D300038:bin_000002@contig_00017859",8126
"81","D300038:bin_000002@contig_00017956",9661
"82","D300038:bin_000002@contig_00018221",12297
"83","D300038:bin_000002@contig_00018493",15822
"84","D300038:bin_000002@contig_00018818",10326
"85","D300038:bin_000002@contig_00019087",9631
"86","D300038:bin_000002@contig_00019417",3439
"87","D300038:bin_000002@contig_00019566",3569
"88","D300038:bin_000002@contig_00019589",33328
"89","D300038:bin_000002@contig_00019848",16022
"90","D300038:bin_000002@contig_00020570",26574
"91","D300038:bin_000002@contig_00020580",15663
"92","D300038:bin_000002@contig_00021121",3903
"93","D300038:bin_000002@contig_00021392",2376
"94","D300038:bin_000002@contig_00021506",22178
"95","D300038:bin_000002@contig_00021961",16323
"96","D300038:bin_000002@contig_00022035",11215
"97","D300038:bin_000002@contig_00022083",16905
"98","D300038:bin_000002@contig_00022981",1930
"99","D300038:bin_000002@contig_00023094",8178
"100","D300038:bin_000002@contig_00023166",30408
"101","D300038:bin_000002@contig_00023960",31606
"102","D300038:bin_000002@contig_00024269",4902
"103","D300038:bin_000002@contig_00024435",2596
"104","D300038:bin_000002@contig_00024799",8357
"105","D300038:bin_000002@contig_00024838",1796
"106","D300038:bin_000002@contig_00025276",5773
"107","D300038:bin_000002@contig_00025632",6788
"108","D300038:bin_000002@contig_00025897",7471
"109","D300038:bin_000002@contig_00026308",47932
"110","D300038:bin_000002@contig_00026419",2568
"111","D300038:bin_000002@contig_00026535",2106
"112","D300038:bin_000002@contig_00026803",10960
"113","D300038:bin_000002@contig_00026813",5085
"114","D300038:bin_000002@contig_00027043",7241
"115","D300038:bin_000002@contig_00027173",9501
"116","D300038:bin_000002@contig_00027346",14727
"117","D300038:bin_000002@contig_00027484",4285
"118","D300038:bin_000002@contig_00027556",2787
"119","D300038:bin_000002@contig_00027650",6925
"120","D300038:bin_000002@contig_00027671",7721
"121","D300038:bin_000002@contig_00028008",1541
"122","D300038:bin_000002@contig_00028095",10897
"123","D300038:bin_000002@contig_00028109",10322
"124","D300038:bin_000002@contig_00028161",6686
"125","D300038:bin_000002@contig_00028336",4276
"126","D300038:bin_000002@contig_00028390",20573
"127","D300038:bin_000002@contig_00029871",27484
"128","D300038:bin_000002@contig_00030006",5936
"129","D300038:bin_000002@contig_00030305",3276
"130","D300038:bin_000002@contig_00030327",23293
"131","D300038:bin_000002@contig_00030594",18385
"132","D300038:bin_000002@contig_00030612",22847
"133","D300038:bin_000002@contig_00030699",9337
"134","D300038:bin_000002@contig_00030713",21988
"135","D300038:bin_000002@contig_00030929",5690
"136","D300038:bin_000002@contig_00031023",7811
"137","D300038:bin_000002@contig_00031306",13961
"138","D300038:bin_000002@contig_00031420",20557
"139","D300038:bin_000002@contig_00031437",35520
"140","D300038:bin_000002@contig_00031983",17446
"141","D300038:bin_000002@contig_00032009",5559
"142","D300038:bin_000002@contig_00032947",10665
"143","D300038:bin_000002@contig_00033390",11764
"144","D300038:bin_000002@contig_00033636",3982
"145","D300038:bin_000002@contig_00033678",29911
"146","D300038:bin_000002@contig_00034577",11733
"147","D300038:bin_000002@contig_00034634",5730
"148","D300038:bin_000004@contig_00000322",81261
"149","D300038:bin_000004@contig_00000371",6983
"150","D300038:bin_000004@contig_00001018",2635
"151","D300038:bin_000004@contig_00001098",4357
"152","D300038:bin_000004@contig_00001283",6156
"153","D300038:bin_000004@contig_00001466",2722
"154","D300038:bin_000004@contig_00001650",6740
"155","D300038:bin_000004@contig_00001684",25679
"156","D300038:bin_000004@contig_00001693",3360
"157","D300038:bin_000004@contig_00001748",2276
"158","D300038:bin_000004@contig_00001829",4072
"159","D300038:bin_000004@contig_00001848",9401
"160","D300038:bin_000004@contig_00002229",3796
"161","D300038:bin_000004@contig_00002265",2572
"162","D300038:bin_000004@contig_00002273",16247
"163","D300038:bin_000004@contig_00002321",10311
"164","D300038:bin_000004@contig_00002397",6994
"165","D300038:bin_000004@contig_00002414",14835
"166","D300038:bin_000004@contig_00002438",8269
"167","D300038:bin_000004@contig_00002467",30344
"168","D300038:bin_000004@contig_00002639",12931
"169","D300038:bin_000004@contig_00002694",68700
"170","D300038:bin_000004@contig_00002800",9539
"171","D300038:bin_000004@contig_00002839",7898
"172","D300038:bin_000004@contig_00003347",12232
"173","D300038:bin_000004@contig_00003415",6544
"174","D300038:bin_000004@contig_00003431",9427
"175","D300038:bin_000004@contig_00003464",11950
"176","D300038:bin_000004@contig_00003584",16673
"177","D300038:bin_000004@contig_00003810",8491
"178","D300038:bin_000004@contig_00004011",6863
"179","D300038:bin_000004@contig_00004519",4038
"180","D300038:bin_000004@contig_00004525",19680
"181","D300038:bin_000004@contig_00004907",12545
"182","D300038:bin_000004@contig_00004990",3423
"183","D300038:bin_000004@contig_00005060",7736
"184","D300038:bin_000004@contig_00005156",6412
"185","D300038:bin_000004@contig_00005164",6609
"186","D300038:bin_000004@contig_00005316",22550
"187","D300038:bin_000004@contig_00005429",2335
"188","D300038:bin_000004@contig_00005742",1765
"189","D300038:bin_000004@contig_00005909",4846
"190","D300038:bin_000004@contig_00006125",16627
"191","D300038:bin_000004@contig_00006195",8227
"192","D300038:bin_000004@contig_00006202",1922
"193","D300038:bin_000004@contig_00006219",10457
"194","D300038:bin_000004@contig_00006226",3471
"195","D300038:bin_000004@contig_00006228",11573
"196","D300038:bin_000004@contig_00006269",4330
"197","D300038:bin_000004@contig_00006365",5798
"198","D300038:bin_000004@contig_00006737",29579
"199","D300038:bin_000004@contig_00006804",4111
"200","D300038:bin_000004@contig_00006818",3289
"201","D300038:bin_000004@contig_00006971",12550
"202","D300038:bin_000004@contig_00007031",7540
"203","D300038:bin_000004@contig_00007213",63093
"204","D300038:bin_000004@contig_00007236",1737
"205","D300038:bin_000004@contig_00007371",26610
"206","D300038:bin_000004@contig_00007439",14152
"207","D300038:bin_000004@contig_00007679",5900
"208","D300038:bin_000004@contig_00007818",6352
"209","D300038:bin_000004@contig_00007994",10106
"210","D300038:bin_000004@contig_00008233",5212
"211","D300038:bin_000004@contig_00008455",20592
"212","D300038:bin_000004@contig_00008480",40525
"213","D300038:bin_000004@contig_00008559",9182
"214","D300038:bin_000004@contig_00008809",19321
"215","D300038:bin_000004@contig_00008837",13770
"216","D300038:bin_000004@contig_00008949",5663
"217","D300038:bin_000004@contig_00008982",10922
"218","D300038:bin_000004@contig_00009077",15102
"219","D300038:bin_000004@contig_00009398",2303
"220","D300038:bin_000004@contig_00009484",7368
"221","D300038:bin_000004@contig_00009642",3579
"222","D300038:bin_000004@contig_00009710",24537
"223","D300038:bin_000004@contig_00009906",21142
"224","D300038:bin_000004@contig_00009987",11462
"225","D300038:bin_000004@contig_00010106",11792
"226","D300038:bin_000004@contig_00010175",51004
"227","D300038:bin_000004@contig_00010217",2486
"228","D300038:bin_000004@contig_00010461",28937
"229","D300038:bin_000004@contig_00010811",8321
"230","D300038:bin_000004@contig_00011228",15616
"231","D300038:bin_000004@contig_00011392",3106
"232","D300038:bin_000004@contig_00011411",31530
"233","D300038:bin_000004@contig_00011450",13098
"234","D300038:bin_000004@contig_00011515",9725
"235","D300038:bin_000004@contig_00011567",9451
"236","D300038:bin_000004@contig_00011894",13087
"237","D300038:bin_000004@contig_00011910",12280
"238","D300038:bin_000004@contig_00011995",9206
"239","D300038:bin_000004@contig_00012216",16299
"240","D300038:bin_000004@contig_00012218",16568
"241","D300038:bin_000004@contig_00012369",6141
"242","D300038:bin_000004@contig_00012450",2026
"243","D300038:bin_000004@contig_00012547",5641
"244","D300038:bin_000004@contig_00012870",22902
"245","D300038:bin_000004@contig_00012875",8899
"246","D300038:bin_000004@contig_00013027",10333
"247","D300038:bin_000004@contig_00013087",1592
"248","D300038:bin_000004@contig_00013139",6632
"249","D300038:bin_000004@contig_00013155",25111
"250","D300038:bin_000004@contig_00013190",6434
"251","D300038:bin_000004@contig_00013256",13288
"252","D300038:bin_000004@contig_00013258",6823
"253","D300038:bin_000004@contig_00013291",34017
"254","D300038:bin_000004@contig_00013496",17832
"255","D300038:bin_000004@contig_00013562",1937
"256","D300038:bin_000004@contig_00013613",97959
"257","D300038:bin_000004@contig_00013617",6684
"258","D300038:bin_000004@contig_00013804",6724
"259","D300038:bin_000004@contig_00013853",8885
"260","D300038:bin_000004@contig_00014340",14599
"261","D300038:bin_000004@contig_00014434",19998
"262","D300038:bin_000004@contig_00014437",2517
"263","D300038:bin_000004@contig_00014472",2677
"264","D300038:bin_000004@contig_00014553",4524
"265","D300038:bin_000004@contig_00014665",18204
"266","D300038:bin_000004@contig_00014777",11882
"267","D300038:bin_000004@contig_00015111",11753
"268","D300038:bin_000004@contig_00015186",5351
"269","D300038:bin_000004@contig_00015258",11367
"270","D300038:bin_000004@contig_00015454",48161
"271","D300038:bin_000004@contig_00015672",32911
"272","D300038:bin_000004@contig_00015730",5960
"273","D300038:bin_000004@contig_00015748",4264
"274","D300038:bin_000004@contig_00016037",10236
"275","D300038:bin_000004@contig_00017120",2664
"276","D300038:bin_000004@contig_00017273",183327
"277","D300038:bin_000004@contig_00017374",61037
"278","D300038:bin_000004@contig_00017456",2424
"279","D300038:bin_000004@contig_00017590",7845
"280","D300038:bin_000004@contig_00017771",7819
"281","D300038:bin_000004@contig_00017814",5774
"282","D300038:bin_000004@contig_00017921",2696
"283","D300038:bin_000004@contig_00017927",12617
"284","D300038:bin_000004@contig_00018040",3370
"285","D300038:bin_000004@contig_00018167",18005
"286","D300038:bin_000004@contig_00018170",6482
"287","D300038:bin_000004@contig_00018224",8991
"288","D300038:bin_000004@contig_00018447",2192
"289","D300038:bin_000004@contig_00018456",4372
"290","D300038:bin_000004@contig_00018468",5230
"291","D300038:bin_000004@contig_00018623",34227
"292","D300038:bin_000004@contig_00018647",3098
"293","D300038:bin_000004@contig_00018740",7999
"294","D300038:bin_000004@contig_00018864",5277
"295","D300038:bin_000004@contig_00019074",12420
"296","D300038:bin_000004@contig_00019354",18164
"297","D300038:bin_000004@contig_00019403",43825
"298","D300038:bin_000004@contig_00019404",3644
"299","D300038:bin_000004@contig_00019448",3426
"300","D300038:bin_000004@contig_00019461",11439
"301","D300038:bin_000004@contig_00019679",2940
"302","D300038:bin_000004@contig_00019794",2694
"303","D300038:bin_000004@contig_00019887",10990
"304","D300038:bin_000004@contig_00019935",3766
"305","D300038:bin_000004@contig_00019964",2763
"306","D300038:bin_000004@contig_00020084",15496
"307","D300038:bin_000004@contig_00020231",9541
"308","D300038:bin_000004@contig_00020280",7765
"309","D300038:bin_000004@contig_00020497",12654
"310","D300038:bin_000004@contig_00020522",1779
"311","D300038:bin_000004@contig_00020715",6878
"312","D300038:bin_000004@contig_00020737",6835
"313","D300038:bin_000004@contig_00020848",2988
"314","D300038:bin_000004@contig_00020901",10530
"315","D300038:bin_000004@contig_00020917",17529
"316","D300038:bin_000004@contig_00021014",11891
"317","D300038:bin_000004@contig_00021080",2410
"318","D300038:bin_000004@contig_00021109",15686
"319","D300038:bin_000004@contig_00021129",7626
"320","D300038:bin_000004@contig_00021131",7867
"321","D300038:bin_000004@contig_00021135",9191
"322","D300038:bin_000004@contig_00021241",22721
"323","D300038:bin_000004@contig_00021255",10755
"324","D300038:bin_000004@contig_00021426",18041
"325","D300038:bin_000004@contig_00021519",21975
"326","D300038:bin_000004@contig_00021520",18076
"327","D300038:bin_000004@contig_00021591",20925
"328","D300038:bin_000004@contig_00022022",3346
"329","D300038:bin_000004@contig_00022064",3983
"330","D300038:bin_000004@contig_00022136",7227
"331","D300038:bin_000004@contig_00022239",13091
"332","D300038:bin_000004@contig_00022368",2881
"333","D300038:bin_000004@contig_00022393",1620
"334","D300038:bin_000004@contig_00022471",1778
"335","D300038:bin_000004@contig_00022581",14481
"336","D300038:bin_000004@contig_00022917",4815
"337","D300038:bin_000004@contig_00022948",4549
"338","D300038:bin_000004@contig_00022984",26768
"339","D300038:bin_000004@contig_00022994",5124
"340","D300038:bin_000004@contig_00023191",2513
"341","D300038:bin_000004@contig_00023284",1903
"342","D300038:bin_000004@contig_00023363",5968
"343","D300038:bin_000004@contig_00023372",4647
"344","D300038:bin_000004@contig_00023446",3483
"345","D300038:bin_000004@contig_00023489",2523
"346","D300038:bin_000004@contig_00023619",5619
"347","D300038:bin_000004@contig_00023639",4084
"348","D300038:bin_000004@contig_00023680",9606
"349","D300038:bin_000004@contig_00024015",10490
"350","D300038:bin_000004@contig_00024018",8613
"351","D300038:bin_000004@contig_00024186",48356
"352","D300038:bin_000004@contig_00024207",9127
"353","D300038:bin_000004@contig_00024367",11276
"354","D300038:bin_000004@contig_00024703",12460
"355","D300038:bin_000004@contig_00024821",14106
"356","D300038:bin_000004@contig_00024890",8556
"357","D300038:bin_000004@contig_00025060",1609
"358","D300038:bin_000004@contig_00025162",29581
"359","D300038:bin_000004@contig_00025216",7347
"360","D300038:bin_000004@contig_00025361",6079
"361","D300038:bin_000004@contig_00025582",2472
"362","D300038:bin_000004@contig_00025669",12356
"363","D300038:bin_000004@contig_00025679",7996
"364","D300038:bin_000004@contig_00025721",8123
"365","D300038:bin_000004@contig_00025753",2061
"366","D300038:bin_000004@contig_00026045",15623
"367","D300038:bin_000004@contig_00026169",2297
"368","D300038:bin_000004@contig_00026284",5150
"369","D300038:bin_000004@contig_00026290",5098
"370","D300038:bin_000004@contig_00026412",4826
"371","D300038:bin_000004@contig_00026433",1963
"372","D300038:bin_000004@contig_00027068",3815
"373","D300038:bin_000004@contig_00027084",4643
"374","D300038:bin_000004@contig_00027383",9701
"375","D300038:bin_000004@contig_00027485",10557
"376","D300038:bin_000004@contig_00027770",2464
"377","D300038:bin_000004@contig_00027979",1982
"378","D300038:bin_000004@contig_00028192",2170
"379","D300038:bin_000004@contig_00028359",9629
"380","D300038:bin_000004@contig_00028532",18829
"381","D300038:bin_000004@contig_00028643",2757
"382","D300038:bin_000004@contig_00028697",4084
"383","D300038:bin_000004@contig_00028924",8559
"384","D300038:bin_000004@contig_00028931",16648
"385","D300038:bin_000004@contig_00029011",16014
"386","D300038:bin_000004@contig_00029030",8094
"387","D300038:bin_000004@contig_00029145",2592
"388","D300038:bin_000004@contig_00029186",2602
"389","D300038:bin_000004@contig_00029288",5218
"390","D300038:bin_000004@contig_00029519",1692
"391","D300038:bin_000004@contig_00029601",1657
"392","D300038:bin_000004@contig_00029619",10849
"393","D300038:bin_000004@contig_00029778",3184
"394","D300038:bin_000004@contig_00030377",41463
"395","D300038:bin_000004@contig_00030416",9924
"396","D300038:bin_000004@contig_00030653",4822
"397","D300038:bin_000004@contig_00030785",9198
"398","D300038:bin_000004@contig_00030814",43972
"399","D300038:bin_000004@contig_00030815",10239
"400","D300038:bin_000004@contig_00030824",1685
"401","D300038:bin_000004@contig_00030918",15556
"402","D300038:bin_000004@contig_00030924",3422
"403","D300038:bin_000004@contig_00030977",17624
"404","D300038:bin_000004@contig_00031245",4268
"405","D300038:bin_000004@contig_00031333",6854
"406","D300038:bin_000004@contig_00031355",2906
"407","D300038:bin_000004@contig_00031378",15767
"408","D300038:bin_000004@contig_00031382",10005
"409","D300038:bin_000004@contig_00031418",6815
"410","D300038:bin_000004@contig_00031555",8691
"411","D300038:bin_000004@contig_00031610",9526
"412","D300038:bin_000004@contig_00031702",3675
"413","D300038:bin_000004@contig_00031712",2161
"414","D300038:bin_000004@contig_00031748",10217
"415","D300038:bin_000004@contig_00031763",2673
"416","D300038:bin_000004@contig_00031786",15807
"417","D300038:bin_000004@contig_00031838",5144
"418","D300038:bin_000004@contig_00032127",3528
"419","D300038:bin_000004@contig_00032250",6923
"420","D300038:bin_000004@contig_00032419",2409
"421","D300038:bin_000004@contig_00032464",3274
"422","D300038:bin_000004@contig_00032649",4785
"423","D300038:bin_000004@contig_00032820",17396
"424","D300038:bin_000004@contig_00032871",2234
"425","D300038:bin_000004@contig_00032901",8422
"426","D300038:bin_000004@contig_00032953",8752
"427","D300038:bin_000004@contig_00033061",4029
"428","D300038:bin_000004@contig_00033156",2847
"429","D300038:bin_000004@contig_00033193",9717
"430","D300038:bin_000004@contig_00033609",12107
"431","D300038:bin_000004@contig_00033769",3716
"432","D300038:bin_000004@contig_00033794",1611
"433","D300038:bin_000004@contig_00033821",21197
"434","D300038:bin_000004@contig_00034014",1974
"435","D300038:bin_000004@contig_00034099",3805
"436","D300038:bin_000004@contig_00034390",1854
"437","D300038:bin_000004@contig_00034662",2275
"438","D300038:bin_000006@contig_00000130",30833
"439","D300038:bin_000006@contig_00000986",7952
"440","D300038:bin_000006@contig_00001456",9820
"441","D300038:bin_000006@contig_00001521",5140
"442","D300038:bin_000006@contig_00001753",3456
"443","D300038:bin_000006@contig_00002030",1622
"444","D300038:bin_000006@contig_00002617",7350
"445","D300038:bin_000006@contig_00002996",23567
"446","D300038:bin_000006@contig_00003220",1894
"447","D300038:bin_000006@contig_00003233",4557
"448","D300038:bin_000006@contig_00004001",16654
"449","D300038:bin_000006@contig_00004071",24884
"450","D300038:bin_000006@contig_00004103",5529
"451","D300038:bin_000006@contig_00004456",1644
"452","D300038:bin_000006@contig_00004476",20122
"453","D300038:bin_000006@contig_00005172",1598
"454","D300038:bin_000006@contig_00005380",4027
"455","D300038:bin_000006@contig_00005386",63866
"456","D300038:bin_000006@contig_00005532",72466
"457","D300038:bin_000006@contig_00005796",2411
"458","D300038:bin_000006@contig_00006165",3039
"459","D300038:bin_000006@contig_00006443",2600
"460","D300038:bin_000006@contig_00006772",2595
"461","D300038:bin_000006@contig_00006862",14200
"462","D300038:bin_000006@contig_00007046",2480
"463","D300038:bin_000006@contig_00007468",2986
"464","D300038:bin_000006@contig_00007608",2713
"465","D300038:bin_000006@contig_00007795",4581
"466","D300038:bin_000006@contig_00008005",3211
"467","D300038:bin_000006@contig_00008190",13890
"468","D300038:bin_000006@contig_00008322",4540
"469","D300038:bin_000006@contig_00008552",12750
"470","D300038:bin_000006@contig_00008614",32550
"471","D300038:bin_000006@contig_00008830",22890
"472","D300038:bin_000006@contig_00008903",12090
"473","D300038:bin_000006@contig_00009711",4071
"474","D300038:bin_000006@contig_00009834",34013
"475","D300038:bin_000006@contig_00009849",9405
"476","D300038:bin_000006@contig_00009864",1656
"477","D300038:bin_000006@contig_00009865",41661
"478","D300038:bin_000006@contig_00010396",20266
"479","D300038:bin_000006@contig_00010692",71940
"480","D300038:bin_000006@contig_00010715",7315
"481","D300038:bin_000006@contig_00010856",4318
"482","D300038:bin_000006@contig_00010936",7703
"483","D300038:bin_000006@contig_00011241",2265
"484","D300038:bin_000006@contig_00011278",3630
"485","D300038:bin_000006@contig_00011335",52563
"486","D300038:bin_000006@contig_00011420",4841
"487","D300038:bin_000006@contig_00011920",1676
"488","D300038:bin_000006@contig_00011935",29667
"489","D300038:bin_000006@contig_00012563",63116
"490","D300038:bin_000006@contig_00012580",5630
"491","D300038:bin_000006@contig_00012806",2183
"492","D300038:bin_000006@contig_00013601",20095
"493","D300038:bin_000006@contig_00013897",6227
"494","D300038:bin_000006@contig_00014232",53556
"495","D300038:bin_000006@contig_00014396",3261
"496","D300038:bin_000006@contig_00014466",1808
"497","D300038:bin_000006@contig_00014482",5222
"498","D300038:bin_000006@contig_00014520",52797
"499","D300038:bin_000006@contig_00014588",3302
"500","D300038:bin_000006@contig_00014687",27308
"501","D300038:bin_000006@contig_00014837",8665
"502","D300038:bin_000006@contig_00015304",2797
"503","D300038:bin_000006@contig_00015463",21344
"504","D300038:bin_000006@contig_00015481",19924
"505","D300038:bin_000006@contig_00015922",3041
"506","D300038:bin_000006@contig_00016052",62694
"507","D300038:bin_000006@contig_00016063",39130
"508","D300038:bin_000006@contig_00016097",6569
"509","D300038:bin_000006@contig_00016298",13248
"510","D300038:bin_000006@contig_00016467",3467
"511","D300038:bin_000006@contig_00016589",1859
"512","D300038:bin_000006@contig_00016592",10628
"513","D300038:bin_000006@contig_00016903",4514
"514","D300038:bin_000006@contig_00016942",4444
"515","D300038:bin_000006@contig_00017300",31645
"516","D300038:bin_000006@contig_00017838",25247
"517","D300038:bin_000006@contig_00017953",5972
"518","D300038:bin_000006@contig_00017993",60274
"519","D300038:bin_000006@contig_00018026",50425
"520","D300038:bin_000006@contig_00018101",4392
"521","D300038:bin_000006@contig_00018258",5788
"522","D300038:bin_000006@contig_00018595",2473
"523","D300038:bin_000006@contig_00018677",3467
"524","D300038:bin_000006@contig_00019001",15429
"525","D300038:bin_000006@contig_00019129",2097
"526","D300038:bin_000006@contig_00019336",3559
"527","D300038:bin_000006@contig_00019357",11054
"528","D300038:bin_000006@contig_00019379",24381
"529","D300038:bin_000006@contig_00019411",5982
"530","D300038:bin_000006@contig_00019418",70543
"531","D300038:bin_000006@contig_00019462",47546
"532","D300038:bin_000006@contig_00019811",56350
"533","D300038:bin_000006@contig_00019872",23485
"534","D300038:bin_000006@contig_00020456",9578
"535","D300038:bin_000006@contig_00020628",14732
"536","D300038:bin_000006@contig_00020654",1714
"537","D300038:bin_000006@contig_00020734",1554
"538","D300038:bin_000006@contig_00020861",1782
"539","D300038:bin_000006@contig_00020912",53971
"540","D300038:bin_000006@contig_00020933",12733
"541","D300038:bin_000006@contig_00021012",4009
"542","D300038:bin_000006@contig_00021015",5084
"543","D300038:bin_000006@contig_00021236",11255
"544","D300038:bin_000006@contig_00021286",1715
"545","D300038:bin_000006@contig_00022205",44001
"546","D300038:bin_000006@contig_00022266",32803
"547","D300038:bin_000006@contig_00022271",5324
"548","D300038:bin_000006@contig_00022298",10186
"549","D300038:bin_000006@contig_00022374",9287
"550","D300038:bin_000006@contig_00022417",30848
"551","D300038:bin_000006@contig_00022791",13729
"552","D300038:bin_000006@contig_00022912",33973
"553","D300038:bin_000006@contig_00022931",14550
"554","D300038:bin_000006@contig_00023034",18483
"555","D300038:bin_000006@contig_00023167",10879
"556","D300038:bin_000006@contig_00023175",4314
"557","D300038:bin_000006@contig_00023622",2890
"558","D300038:bin_000006@contig_00023651",16715
"559","D300038:bin_000006@contig_00023829",4449
"560","D300038:bin_000006@contig_00023951",12505
"561","D300038:bin_000006@contig_00024542",4150
"562","D300038:bin_000006@contig_00024676",8715
"563","D300038:bin_000006@contig_00025141",16287
"564","D300038:bin_000006@contig_00025461",18155
"565","D300038:bin_000006@contig_00025491",12854
"566","D300038:bin_000006@contig_00025658",9458
"567","D300038:bin_000006@contig_00025803",5044
"568","D300038:bin_000006@contig_00025972",6736
"569","D300038:bin_000006@contig_00026179",6776
"570","D300038:bin_000006@contig_00026256",24051
"571","D300038:bin_000006@contig_00026493",34227
"572","D300038:bin_000006@contig_00026529",3264
"573","D300038:bin_000006@contig_00027010",14416
"574","D300038:bin_000006@contig_00027310",22950
"575","D300038:bin_000006@contig_00027578",12161
"576","D300038:bin_000006@contig_00028172",2892
"577","D300038:bin_000006@contig_00028300",1815
"578","D300038:bin_000006@contig_00028347",37659
"579","D300038:bin_000006@contig_00028530",6314
"580","D300038:bin_000006@contig_00028611",2083
"581","D300038:bin_000006@contig_00028890",2292
"582","D300038:bin_000006@contig_00028988",2275
"583","D300038:bin_000006@contig_00029069",25126
"584","D300038:bin_000006@contig_00029072",2097
"585","D300038:bin_000006@contig_00029337",17991
"586","D300038:bin_000006@contig_00029718",35503
"587","D300038:bin_000006@contig_00029844",102186
"588","D300038:bin_000006@contig_00029959",27576
"589","D300038:bin_000006@contig_00030251",14158
"590","D300038:bin_000006@contig_00030356",7077
"591","D300038:bin_000006@contig_00030585",22291
"592","D300038:bin_000006@contig_00030610",19072
"593","D300038:bin_000006@contig_00030886",9704
"594","D300038:bin_000006@contig_00031329",19522
"595","D300038:bin_000006@contig_00031414",53021
"596","D300038:bin_000006@contig_00032423",11408
"597","D300038:bin_000006@contig_00032512",2465
"598","D300038:bin_000006@contig_00032672",3452
"599","D300038:bin_000006@contig_00032675",6566
"600","D300038:bin_000006@contig_00032706",23965
"601","D300038:bin_000006@contig_00032853",40562
"602","D300038:bin_000006@contig_00034098",23588
"603","D300038:bin_000006@contig_00034379",60147
"604","D300038:bin_000006@contig_00034498",40367
"605","D300038:bin_000008@contig_00000066",25298
"606","D300038:bin_000008@contig_00000329",10566
"607","D300038:bin_000008@contig_00000372",17258
"608","D300038:bin_000008@contig_00000660",15696
