"","old_MAG","taxonomy","ani","reference","domain","phylum","class","order","family","genus","species","lowest"
"11","D300059:bin_000014","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",99.02,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"12","D300061:bin_000025","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",98.91,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"13","D300061:bin_000078","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.99,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"14","D300063:bin_000014","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",99.02,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"15","D300065:bin_000036","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",98.92,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"16","D300065:bin_000069","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.44,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"17","D300068:bin_000018","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.78,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"18","TC1_40:bin_000059","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",99.13,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"19","TC1_40:bin_000124","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.27,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"20","TC2_40:bin_000023","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",98.9,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"21","TC2_40:bin_000174","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71",NA,NA,"Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71",NA,"g__UBA71"
"22","TC2_40:bin_000177","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.52,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"23","TC3_40:bin_000038","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",98.84,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"24","TC3_40:bin_000303","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71",NA,NA,"Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71",NA,"g__UBA71"
"25","TC3_40:bin_000304","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",95.2,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"26","TC4_40:bin_000050","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvus",98.94,"GCF_000300255.2","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Methanomethylophilus","Methanomethylophilus alvus","s__Methanomethylophilus alvus"
"27","TC4_40:bin_000104","d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71;s__UBA71 sp016296195",96.41,"GCA_016296195.1","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","UBA71","UBA71 sp016296195","s__UBA71 sp016296195"
"28","D300038:bin_000001","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp003456415",98.26,"GCA_902785325.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinivibrio","Succinivibrio sp003456415","s__Succinivibrio sp003456415"
"29","D300038:bin_000002","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp022779845",99.33,"GCA_022779845.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinivibrio","Succinivibrio sp022779845","s__Succinivibrio sp022779845"
"30","D300038:bin_000003","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis_C",97.05,"GCA_021531385.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","s__Parabacteroides distasonis_C"
"31","D300038:bin_000004","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella",NA,NA,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella",NA,"g__Sutterella"
"32","D300038:bin_000005","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R",NA,NA,"Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium",NA,"g__Eubacterium_R"
"33","D300038:bin_000006","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900554145",97.89,"GCF_024462815.1","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp900554145","s__Gemmiger sp900554145"
"34","D300038:bin_000007","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883",NA,NA,"Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883",NA,"g__UBA2883"
"35","D300038:bin_000008","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865",97.43,"GCF_021531665.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552865","s__Alloprevotella sp004552865"
"36","D300038:bin_000009","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111",NA,NA,"Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111",NA,"g__Zag111"
"37","D300038:bin_000010","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp004561545",98.87,"GCA_004561545.1","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp004561545","s__Gemmiger sp004561545"
"38","D300038:bin_000011","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp022769325",98.58,"GCA_022769325.1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium","Eubacterium_F sp022769325","s__Eubacterium_F sp022769325"
"39","D300038:bin_000012","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975",96.7,"GCF_019052365.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000434975","s__Prevotella sp000434975"
"40","D300038:bin_000013","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D",NA,NA,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,"g__Ruminococcus_D"
"41","D300038:bin_000014","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CALZFJ01",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CALZFJ01",NA,"g__CALZFJ01"
"42","D300038:bin_000015","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus sp000437815",98.57,"GCF_009696675.1","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus sp000437815","s__Acidaminococcus sp000437815"
"43","D300038:bin_000016","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii",96.46,"GCF_000159355.1","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii","s__Lactobacillus johnsonii"
"44","D300038:bin_000017","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii",97.97,"GCF_003010495.1","Bacteria","Bacillota","Negativicutes","Veillonellales","Megasphaeraceae","Megasphaera","Megasphaera elsdenii","s__Megasphaera elsdenii"
"45","D300038:bin_000019","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",NA,NA,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"g__Roseburia"
"46","D300038:bin_000020","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp022772725",96.95,"GCA_022772725.1","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium","Eubacterium_R sp022772725","s__Eubacterium_R sp022772725"
"47","D300038:bin_000021","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","RF16",NA,"g__RF16"
"48","D300038:bin_000022","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__Helicobacter_D sp003288905",98.72,"GCF_003288905.1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter_D sp003288905","s__Helicobacter_D sp003288905"
"49","D300038:bin_000023","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A porcorum",99.42,"GCF_002157465.1","Bacteria","Bacillota","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Butyricicoccus_A porcorum","s__Butyricicoccus_A porcorum"
"50","D300038:bin_000024","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira",NA,NA,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,"g__Lachnospira"
"51","D300038:bin_000025","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__VSOB01 sp022779165",98.88,"GCA_022779165.1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","VSOB01","VSOB01 sp022779165","s__VSOB01 sp022779165"
"52","D300038:bin_000026","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004554665",98.98,"GCA_004554665.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004554665","s__Prevotella sp004554665"
"53","D300038:bin_000027","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia",NA,NA,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",NA,"g__Bulleidia"
"54","D300038:bin_000028","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp900766785",97.6,"GCA_900766785.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA4372","UBA4372 sp900766785","s__UBA4372 sp900766785"
"55","D300038:bin_000029","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__W0P33-017 sp022768825",98.02,"GCA_022768825.1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","W0P33-017","W0P33-017 sp022768825","s__W0P33-017 sp022768825"
"56","D300038:bin_000030","d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas",NA,NA,"Bacteria","Bacillota","Bacilli","RFN20","CAG-826","Enteromonas",NA,"g__Enteromonas"
"57","D300038:bin_000031","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri",95.78,"GCF_000016825.1","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri","s__Limosilactobacillus reuteri"
"58","D300038:bin_000032","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pectinovora",98.46,"GCF_000834015.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella pectinovora","s__Prevotella pectinovora"
"59","D300038:bin_000033","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp004556065",97.89,"GCA_021531755.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp004556065","s__Prevotella sp004556065"
"60","D300038:bin_000034","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022764085",97.79,"GCA_022764085.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp022764085","s__Prevotella sp022764085"
"61","D300038:bin_000035","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A",96.06,"GCF_002224675.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella copri","s__Prevotella copri_A"
"62","D300038:bin_000036","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella"
"63","D300038:bin_000037","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Ornithospirochaeta;s__Ornithospirochaeta sp022785155",97.95,"GCA_022785155.1","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022785155","s__Ornithospirochaeta sp022785155"
"64","D300038:bin_000038","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552675",96.02,"GCA_900552675.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900552675","s__Prevotella sp900552675"
"65","D300038:bin_000039","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFRY01;s__SFRY01 sp004562065",99.06,"GCA_016292745.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","SFRY01","SFRY01 sp004562065","s__SFRY01 sp004562065"
"66","D300038:bin_000040","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UBA3789;s__UBA3789 sp900543055",99.18,"GCA_900543055.1","Bacteria","Bacillota","Bacilli","RF39","UBA660","UBA3789","UBA3789 sp900543055","s__UBA3789 sp900543055"
"67","D300038:bin_000041","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio sp900548165",98.05,"GCF_021531495.1","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio sp900548165","s__Anaerovibrio sp900548165"
"68","D300038:bin_000042","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900546925",98.93,"GCA_900546925.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546925","s__Cryptobacteroides sp900546925"
"69","D300038:bin_000043","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter",NA,NA,"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter",NA,"g__Dysosmobacter"
"70","D300038:bin_000044","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552155",96.44,"GCA_004552155.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552155","s__Alloprevotella sp004552155"
"71","D300038:bin_000045","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci",98.71,"GCF_009696075.1","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella porci","s__Holdemanella porci"
"72","D300038:bin_000046","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp022771245",97.34,"GCA_022771245.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp022771245","s__Cryptobacteroides sp022771245"
"73","D300038:bin_000047","d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Gastranaerophilus;s__Gastranaerophilus phascolarctosicola",96.63,"GCA_001899335.1","Bacteria","Cyanobacteriota","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Gastranaerophilus","Gastranaerophilus phascolarctosicola","s__Gastranaerophilus phascolarctosicola"
"74","D300038:bin_000048","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp017622575",97.88,"GCA_017622575.1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","CAG-95 sp017622575","s__CAG-95 sp017622575"
"75","D300038:bin_000049","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Duodenibacillus",NA,NA,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus",NA,"g__Duodenibacillus"
"76","D300038:bin_000050","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Floccifex;s__Floccifex porci",98.92,"GCF_009696175.1","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Floccifex","Floccifex porci","s__Floccifex porci"
"77","D300038:bin_000051","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio slackiae",98,"GCF_009695585.1","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio","Anaerovibrio slackiae","s__Anaerovibrio slackiae"
"78","D300038:bin_000052","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp945637645",98.6,"GCA_945637645.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp945637645","s__Prevotella sp945637645"
"79","D300038:bin_000053","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio",NA,NA,"Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,"g__Anaerovibrio"
"80","D300038:bin_000054","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251435",97.74,"GCF_002251435.1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251435","s__Prevotella sp002251435"
